begin;open;close;high;low;value;volume;name
2023-02-15 00:00:00;160.94;156.25;161.12;153.83;17992861042.9;113804160;SBER
2023-02-16 00:00:00;157.33;158.22;159.3;156.25;10824261902.6;68549280;SBER
2023-02-17 00:00:00;158.0;159.73;160.38;156.91;8295150283.0;52179940;SBER
2023-02-20 00:00:00;159.41;160.09;161.3;156.73;10151613700.1;63971610;SBER
2023-02-21 00:00:00;160.66;164.15;165.65;159.26;20810057510.7;127422480;SBER
2023-02-22 00:00:00;164.13;163.37;164.42;162.5;7150966488.1;43772430;SBER
2023-02-24 00:00:00;163.33;164.3;165.5;163.1;6199625787.6;37727230;SBER
2023-02-27 00:00:00;163.52;169.95;170.0;162.96;16780738615.2;100133280;SBER
2023-02-28 00:00:00;170.5;169.82;171.92;168.37;13727277947.9;80748140;SBER
2023-03-01 00:00:00;170.4;170.53;171.66;169.5;9167860118.1;53784730;SBER
2023-03-02 00:00:00;170.4;168.05;170.4;166.55;14517746431.3;86095640;SBER
2023-03-03 00:00:00;168.17;171.16;171.26;167.9;8415476818.0;49566770;SBER
2023-03-06 00:00:00;172.14;171.84;172.99;171.35;11111583412.4;64585290;SBER
2023-03-07 00:00:00;171.87;174.01;174.2;171.0;9555925415.8;55287380;SBER
2023-03-09 00:00:00;174.85;172.55;174.89;172.21;13943157257.4;80393110;SBER
2023-03-10 00:00:00;171.55;172.53;173.0;170.58;8636905460.0;50256970;SBER
2023-03-13 00:00:00;172.5;172.15;173.9;169.26;12709525433.5;74032280;SBER
2023-03-14 00:00:00;171.61;175.71;176.95;171.01;15601317280.3;89325670;SBER
2023-03-15 00:00:00;176.0;175.3;177.37;173.59;14010359713.1;79930290;SBER
2023-03-16 00:00:00;174.94;175.45;176.04;173.36;8999771334.6;51534160;SBER
2023-03-17 00:00:00;183.0;193.59;193.66;178.56;72487640689.1;388164850;SBER
2023-03-20 00:00:00;196.02;203.73;205.09;195.0;31309861829.0;156714250;SBER
2023-03-21 00:00:00;204.76;203.32;208.0;201.25;25112540900.7;122583960;SBER
2023-03-22 00:00:00;203.4;202.89;204.4;201.59;11679333494.7;57568140;SBER
2023-03-23 00:00:00;202.53;202.58;204.2;202.22;5415399866.5;26650230;SBER
2023-03-24 00:00:00;202.86;203.57;203.85;202.0;4939230840.9;24325540;SBER
2023-03-27 00:00:00;204.01;211.84;213.2;204.01;21191264384.4;101521380;SBER
2023-03-28 00:00:00;212.86;214.03;214.7;210.67;15726501741.8;73901050;SBER
2023-03-29 00:00:00;214.85;217.99;219.53;213.6;20980171180.8;96682530;SBER
2023-03-30 00:00:00;217.3;216.87;218.45;216.12;8884287057.7;40886950;SBER
2023-03-31 00:00:00;217.2;216.6;217.35;211.3;18878992953.8;88081360;SBER
2023-04-03 00:00:00;218.45;216.09;219.44;214.8;11951820883.8;55175630;SBER
2023-04-04 00:00:00;216.2;214.83;217.29;213.8;9882799399.6;45803380;SBER
2023-04-05 00:00:00;214.65;216.15;216.3;211.4;9891663991.7;46177490;SBER
2023-04-06 00:00:00;216.3;214.25;217.38;214.07;8425126719.9;39061450;SBER
2023-04-07 00:00:00;214.5;216.27;216.39;213.65;6286417581.4;29198130;SBER
2023-04-10 00:00:00;217.1;222.21;222.26;216.61;18737869518.4;85196000;SBER
2023-04-11 00:00:00;222.9;218.6;223.33;217.62;21743759463.1;98538370;SBER
2023-04-12 00:00:00;218.6;219.22;219.7;216.67;9773616806.2;44767540;SBER
2023-04-13 00:00:00;219.49;219.85;220.89;218.0;7159179734.3;32672160;SBER
2023-04-14 00:00:00;220.0;221.87;222.5;218.51;9554306584.3;43316040;SBER
2023-04-17 00:00:00;222.98;228.1;228.2;222.91;17756638468.9;78797270;SBER
2023-04-18 00:00:00;227.89;232.66;232.76;227.05;22454901978.8;97770120;SBER
2023-04-19 00:00:00;232.67;232.95;237.37;231.1;27097765520.1;115713300;SBER
